carname,make,model,year,kilometersdriven,fueltype,transmission,location,city,price,price_lakhs,listingurl,imageurl,source
2017 Tata Tiago,tata,tiago,2017,45407.0,Petrol,manual,ahmedabad,ahmedabad,2.79 Lakh,2.79,https://www.cars24.com/buy-used-tata-tiago-2017-cars-ahmedabad-11457666754/,,Cars24
2017 Datsun Redi Go,datsun,redi go,2017,55508.0,Petrol,manual,ahmedabad,ahmedabad,1.78 Lakh,1.78,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-ahmedabad-14221806750/,,Cars24
2017 Hyundai Verna,hyundai,verna,2017,133554.0,Diesel,manual,ahmedabad,ahmedabad,5.56 Lakh,5.56,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-ahmedabad-11493960788/,,Cars24
2017 Volkswagen Ameo,volkswagen,ameo,2017,83634.0,Petrol,manual,ahmedabad,ahmedabad,3.74 Lakh,3.74,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-ahmedabad-11413969767/,,Cars24
2016 Maruti Wagon R 1.0,maruti,wagon r 1.0,2016,85001.0,Cng,manual,ahmedabad,ahmedabad,2.49 Lakh,2.49,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-ahmedabad-11457663704/,,Cars24
2021 Maruti Celerio,maruti,celerio,2021,61913.0,Petrol,auto,ahmedabad,ahmedabad,3.79 Lakh,3.79,https://www.cars24.com/buy-used-maruti-celerio-2021-cars-ahmedabad-11486969707/,,Cars24
2013 Hyundai i20,hyundai,i20,2013,76464.0,Petrol,manual,ahmedabad,ahmedabad,2.67 Lakh,2.67,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-ahmedabad-24407364795/,,Cars24
2021 Tata TIGOR,tata,tigor,2021,40065.0,Petrol,auto,ahmedabad,ahmedabad,4.84 Lakh,4.84,https://www.cars24.com/buy-used-tata-tigor-2021-cars-ahmedabad-11441962705/,,Cars24
2015 Maruti Wagon R 1.0,maruti,wagon r 1.0,2015,95149.0,Cng,manual,ahmedabad,ahmedabad,2.65 Lakh,2.65,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-ahmedabad-15053267749/,,Cars24
2017 Hyundai Grand i10,hyundai,grand i10,2017,80100.0,Cng,manual,ahmedabad,ahmedabad,3.25 Lakh,3.25,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-11401066766/,,Cars24
2012 Honda Brio,honda,brio,2012,97925.0,Petrol,manual,ahmedabad,ahmedabad,1.70 Lakh,1.7,https://www.cars24.com/buy-used-honda-brio-2012-cars-ahmedabad-11457568707/,,Cars24
2013 Honda Brio,honda,brio,2013,92723.0,Petrol,manual,ahmedabad,ahmedabad,2.04 Lakh,2.04,https://www.cars24.com/buy-used-honda-brio-2013-cars-ahmedabad-11447263748/,,Cars24
2022 Renault Kwid,renault,kwid,2022,56919.0,Petrol,manual,ahmedabad,ahmedabad,3.16 Lakh,3.16,https://www.cars24.com/buy-used-renault-kwid-2022-cars-ahmedabad-11431064706/,,Cars24
2021 Hyundai Tucson,hyundai,tucson,2021,52235.0,Petrol,auto,ahmedabad,ahmedabad,11.74 Lakh,11.74,https://www.cars24.com/buy-used-hyundai-tucson-2021-cars-ahmedabad-11478263746/,,Cars24
2021 MG ASTOR,mg,astor,2021,44832.0,Petrol,auto,ahmedabad,ahmedabad,8.41 Lakh,8.41,https://www.cars24.com/buy-used-mg-astor-2021-cars-ahmedabad-11451765729/,,Cars24
2014 Hyundai Grand i10,hyundai,grand i10,2014,77200.0,Petrol,manual,ahmedabad,ahmedabad,2.81 Lakh,2.81,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-ahmedabad-11443465741/,,Cars24
2018 Hyundai Elite i20,hyundai,elite i20,2018,93294.0,Cng,auto,ahmedabad,ahmedabad,5.61 Lakh,5.61,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-ahmedabad-25797668748/,,Cars24
2019 Honda Amaze,honda,amaze,2019,130757.0,Petrol,manual,ahmedabad,ahmedabad,3.97 Lakh,3.97,https://www.cars24.com/buy-used-honda-amaze-2019-cars-ahmedabad-11472664702/,,Cars24
2022 Tata ALTROZ,tata,altroz,2022,127164.0,Cng,manual,ahmedabad,ahmedabad,5.50 Lakh,5.5,https://www.cars24.com/buy-used-tata-altroz-2022-cars-ahmedabad-11468064745/,,Cars24
2016 Honda Amaze,honda,amaze,2016,56575.0,Petrol,manual,ahmedabad,ahmedabad,3.23 Lakh,3.23,https://www.cars24.com/buy-used-honda-amaze-2016-cars-ahmedabad-11485468761/,,Cars24
2016 Hyundai Creta,hyundai,creta,2016,52613.0,Petrol,auto,ahmedabad,ahmedabad,6.85 Lakh,6.85,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-ahmedabad-11457766766/,,Cars24
2017 Maruti Dzire,maruti,dzire,2017,91710.0,Petrol,manual,ahmedabad,ahmedabad,3.71 Lakh,3.71,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-ahmedabad-11458563749/,,Cars24
2020 Tata ALTROZ,tata,altroz,2020,84233.0,Petrol,manual,ahmedabad,ahmedabad,4.27 Lakh,4.27,https://www.cars24.com/buy-used-tata-altroz-2020-cars-ahmedabad-11045369723/,,Cars24
2018 Jeep Compass,jeep,compass,2018,138046.0,Diesel,manual,ahmedabad,ahmedabad,6.12 Lakh,6.12,https://www.cars24.com/buy-used-jeep-compass-2018-cars-ahmedabad-11444663704/,,Cars24
2017 Ford Figo Aspire,ford,figo aspire,2017,90733.0,Petrol,manual,ahmedabad,ahmedabad,2.73 Lakh,2.73,https://www.cars24.com/buy-used-ford-figo-aspire-2017-cars-ahmedabad-11491462702/,,Cars24
2015 Honda CRV,honda,crv,2015,107978.0,Petrol,auto,ahmedabad,ahmedabad,5.24 Lakh,5.24,https://www.cars24.com/buy-used-honda-crv-2015-cars-ahmedabad-11415065757/,,Cars24
2018 Tata NEXON,tata,nexon,2018,58446.0,Petrol,manual,ahmedabad,ahmedabad,3.55 Lakh,3.55,https://www.cars24.com/buy-used-tata-nexon-2018-cars-ahmedabad-11476063747/,,Cars24
2023 Hyundai Verna,hyundai,verna,2023,63704.0,Petrol,auto,ahmedabad,ahmedabad,10.95 Lakh,10.95,https://www.cars24.com/buy-used-hyundai-verna-2023-cars-ahmedabad-11424665702/,,Cars24
