source,title,link
Autocar India,Ferrari reveals one-off HC25 based on F8 SpiderBespoke Special Projects model introduces new Ferrari design cues while retaining the F8 Spider’s 720hp twin-turbo V8.YesterdayDhruv Dhaka,https://www.autocarindia.com/car-news/ferrari-reveals-one-off-hc25-based-on-f8-spider-439746
Autocar India,India’s used-car market to reach 10 million units by FY31: Redseer reportYesterdayDhruv Dhaka,https://www.autocarindia.com/car-news/indias-used-car-market-to-reach-10-million-units-by-fy31-redseer-report-439745
Autocar India,BMW sub-brand Alpina reveals Vision grand tourer conceptYesterdayUday Singh,https://www.autocarindia.com/car-news/bmw-sub-brand-alpina-reveals-vision-grand-tourer-concept-439744
Autocar India,Volkswagen reveals ID Polo GTI as its first-ever electric GTI model15 May 2026Dipan Sur,https://www.autocarindia.com/car-news/volkswagen-reveals-id-polo-gti-as-its-first-ever-electric-gti-model-439743
Autocar India,Honda unveils new hybrid sedan prototype15 May 2026Glenn Noronha,https://www.autocarindia.com/car-news/honda-unveils-new-hybrid-sedan-prototype-439740
Autocar India,Made-in-India Toyota Starlet scores 0-star Global NCAP rating15 May 2026Viraaj Bhatnagar,https://www.autocarindia.com/car-news/made-in-india-toyota-starlet-scores-0-star-global-ncap-rating-439741
Autocar India,Tata says its first flex-fuel vehicle could be ready by end of 202615 May 2026Dhruv Dhaka,https://www.autocarindia.com/car-news/tata-says-its-first-flex-fuel-vehicle-could-be-ready-by-end-2026-439739
Autocar India,369K+Top 10 cheapest 7 seater cars in India19 Feb 2026Uday Singh1,https://www.autocarindia.com/car-news/top-10-cheapest-7-seater-cars-in-india-419390
Autocar India,74K+Mahindra offers to buy back initial batch of BE 6 Batman Edition18 Mar 2026Suraj Viswanathan2,https://www.autocarindia.com/car-news/mahindra-offers-to-buyback-first-999-units-of-be-6-batman-edition-439250
Autocar India,"63K+Maruti Invicto, Fronx, Baleno get discounts of up to Rs 2.15 lakh in May 20266 May 2026Dhruv Dhaka3",https://www.autocarindia.com/car-news/maruti-invicto-fronx-baleno-get-discounts-of-up-to-rs-215-lakh-in-may-2026-439652
Autocar India,50K+Outgoing Skoda Kushaq gets discounts of up to Rs 3 lakh in April 202618 Apr 2026Glenn Noronha4,https://www.autocarindia.com/car-news/outgoing-skoda-kushaq-gets-discounts-of-up-to-rs-3-lakh-in-april-2026-439500
RushLane,Car News,https://www.rushlane.com/category/cars-news
RushLane,Bike News,https://www.rushlane.com/category/bikes-news
RushLane,EV News,https://www.rushlane.com/category/electric-vehicles
