name,price,emi,kilometer,fuel,transmission,registration,location,link
"2019 Maruti Alto 800
2.44 Lakh
₹2.50 Lakh",2.44 Lakh,"EMI ₹4,620/m*",27K km,Petrol,Manual,GJ06,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/maruti-suzuki/alto-800/lxi-2019/28855999/
"2023 Tata Punch
6.57 Lakh",6.57 Lakh,"EMI ₹11,323/m*",37K km,Cng,Manual,GJ07,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/tata/punch/adventure-rhythm-icng-2023/28389118/
"2017 Renault Kwid
2.69 Lakh",2.69 Lakh,"EMI ₹4,683/m*",56K km,Petrol,Automatic,GJ05,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/renault/kwid/10-rxt-amt-opt-2017/28728711/
"2016 Maruti Alto 800
2.48 Lakh",2.48 Lakh,"EMI ₹4,834/m*",36.5K km,Petrol,Manual,GJ01,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/maruti-suzuki/alto-800/lxi-2016/28839674/
"2022 Tata Tiago
5.63 Lakh",5.63 Lakh,"EMI ₹9,706/m*",23K km,Petrol,Automatic,GJ01,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/tata/tiago/xza-plus-2022/29095812/
"2017 Hyundai Grand i10
4.33 Lakh",4.33 Lakh,"EMI ₹7,492/m*",24.5K km,Petrol,Automatic,GJ05,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/hyundai/grand-i10/magna-at-12-kappa-vtvt-2017/28902609/
"2018 Volkswagen Polo
4.41 Lakh",4.41 Lakh,"EMI ₹7,211/m*",64K km,Petrol,Manual,GJ05,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/volkswagen/polo/highline12l-p-2018/28884493/
"2014 Hyundai Eon
2.12 Lakh
₹2.18 Lakh",2.12 Lakh,"EMI ₹5,635/m*",11.5K km,Petrol,Manual,GJ06,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/hyundai/eon/era-20112012-vaishno-devi-2014/28904248/
"2014 Hyundai Elite i20
3.85 Lakh",3.85 Lakh,"EMI ₹10,674/m*",89K km,Petrol,Manual,GJ01,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/hyundai/elite-i20/sportz-12-2014/28970862/
"2022 Mahindra XUV 300
6.76 Lakh",6.76 Lakh,"EMI ₹11,733/m*",44K km,Petrol,Manual,GJ01,"Swarnim Stone, Chharodi",https://www.spinny.com/buy-used-cars/ahmedabad/mahindra/xuv-300/w8-12-petrol-2022/28855836/
