name,price,emi,kilometer,fuel,transmission,registration,location,link
"2018 Tata Hexa
7.70 Lakh",7.70 Lakh,"EMI ₹12,516/m*",93.5K km,Diesel,Manual,KA41,"Mantri Mall, Malleshwaram",https://www.spinny.com/buy-used-cars/bangalore/tata/hexa/xm-4x2-7-str-malleshwaram-2018/28115426/
"2014 Volkswagen Polo
4.46 Lakh",4.46 Lakh,"EMI ₹11,371/m*",57K km,Petrol,Manual,KA20,"Mantri Mall, Malleshwaram",https://www.spinny.com/buy-used-cars/bangalore/volkswagen/polo/highline12l-p-malleshwaram-2014/28502930/
"2021 Maruti Alto 800
3.59 Lakh",3.59 Lakh,"EMI ₹6,487/m*",14.5K km,Petrol,Manual,KA02,"Vega City Mall, BTM Layout",https://www.spinny.com/buy-used-cars/bangalore/maruti-suzuki/alto-800/vxi-2021/29062196/
"2019 Hyundai Grand i10
4.41 Lakh",4.41 Lakh,"EMI ₹7,578/m*",60.5K km,Diesel,Manual,KA05,"Hunasamaranahalli, Yelahanka",https://www.spinny.com/buy-used-cars/bangalore/hyundai/grand-i10/asta-u2-12-crdi-2019/27846913/
"2013 Maruti Ertiga
5.24 Lakh",5.24 Lakh,"EMI ₹20,081/m*",74.5K km,Diesel,Manual,KA51,"VR Mall, Whitefield",https://www.spinny.com/buy-used-cars/bangalore/maruti-suzuki/ertiga/vdi-whitefield-2013/28856853/
"2022 Hyundai Creta
16.19 Lakh",16.19 Lakh,"EMI ₹27,911/m*",42K km,Diesel,Automatic,KA01,"Hunasamaranahalli, Yelahanka",https://www.spinny.com/buy-used-cars/bangalore/hyundai/creta/sx-o-15-diesel-automatic-2022/29067281/
"2022 Hyundai Creta
14.86 Lakh",14.86 Lakh,"EMI ₹25,629/m*",74.5K km,Diesel,Automatic,KA02,"Hunasamaranahalli, Yelahanka",https://www.spinny.com/buy-used-cars/bangalore/hyundai/creta/sx-o-15-diesel-automatic-yelahanka-2022/28912439/
"2021 Renault Duster
6.81 Lakh",6.81 Lakh,"EMI ₹11,665/m*",80.5K km,Petrol,Manual,KA53,"Hunasamaranahalli, Yelahanka",https://www.spinny.com/buy-used-cars/bangalore/renault/duster/rxz-13-turbo-petrol-mt-2021/28192558/
"2022 Audi A4
33.50 Lakh",33.50 Lakh,"EMI ₹57,616/m*",45K km,Petrol,Automatic,KA03,"Hunasamaranahalli, Yelahanka",https://www.spinny.com/buy-used-cars/bangalore/audi/a4/technology-40-tfsi-yelahanka-2022/28148852/
"2024 Hyundai i20 N Line
10.40 Lakh",10.40 Lakh,"EMI ₹17,999/m*",44.5K km,Petrol,Automatic,KA09,"Vega City Mall, BTM Layout",https://www.spinny.com/buy-used-cars/bangalore/hyundai/i20-n-line/n8-10-turbo-dct-2024/29137779/
