name,price,emi,kilometer,fuel,transmission,registration,location,link
"2021 Hyundai Venue
7.15 Lakh
₹7.28 Lakh",7.15 Lakh,"EMI ₹12,465/m*",52.5K km,Diesel,Manual,UP16,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/hyundai/venue/sx-15-crdi-raj-nagar-extension-2021/28681743/
"2022 Tata Harrier
12.04 Lakh
₹12.27 Lakh",12.04 Lakh,"EMI ₹21,167/m*",51.5K km,Diesel,Automatic,DL5C,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/tata/harrier/xta-plus-dwarka-sector-21-2022/28186854/
"2020 Renault Kwid
3.06 Lakh
₹3.14 Lakh",3.06 Lakh,"EMI ₹5,415/m*",30K km,Petrol,Manual,HR26,"Sohna Road, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/renault/kwid/10-rxt-opt-2020/28673797/
"2022 Kia Sonet
9.51 Lakh
₹9.65 Lakh",9.51 Lakh,"EMI ₹16,501/m*",62.5K km,Diesel,Automatic,UP14,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/kia/sonet/gtx-plus-15-at-raj-nagar-extension-2022/28944337/
"2022 Renault Triber
5.05 Lakh
₹5.12 Lakh",5.05 Lakh,"EMI ₹8,787/m*",37K km,Petrol,Manual,DL8C,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/renault/triber/rxz-raj-nagar-extension-2022/28585033/
"2016 Maruti Baleno
3.67 Lakh",3.67 Lakh,"EMI ₹6,753/m*",79.5K km,Petrol,Manual,HR12,"Sector 27, Faridabad",https://www.spinny.com/buy-used-cars/faridabad/maruti-suzuki/baleno/alpha-12-2016/28556089/
"2018 Renault Kwid
2.05 Lakh
₹2.08 Lakh",2.05 Lakh,"EMI ₹3,661/m*",48K km,Petrol,Manual,DL12,"Kaushambi, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/renault/kwid/rxl-2018/27410887/
"2013 Honda City
2.62 Lakh
₹2.68 Lakh",2.62 Lakh,"EMI ₹10,345/m*",101K km,Petrol,Manual,DL1C,"Sector 4, Greater Noida",https://www.spinny.com/buy-used-cars/noida/honda/city/15-s-mt-2013/28607804/
"2022 Tata Nexon
6.17 Lakh
₹6.25 Lakh",6.17 Lakh,"EMI ₹10,779/m*",47K km,Petrol,Manual,UP15,"Kaushambi, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/tata/nexon/xm-s-2022/28772997/
"2017 Mercedes E-Class
25.12 Lakh
₹25.50 Lakh",25.12 Lakh,"EMI ₹43,856/m*",61.5K km,Petrol,Automatic,DL10,"Sector 29, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/mercedes-benz/e-class/e-200-avantgarde-sector-29-2017/28720409/
"2012 Hyundai i20
1.96 Lakh
₹2.02 Lakh",1.96 Lakh,"EMI ₹15,005/m*",52K km,Petrol,Manual,DL8C,"Indirapuram, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/hyundai/i20/magna-o-12-2012/28621906/
"2017 Maruti Celerio
3.59 Lakh
₹3.67 Lakh",3.59 Lakh,"EMI ₹6,369/m*",49.5K km,Petrol,Automatic,DL14,"Nehru Place, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/celerio/zxi-o-amt-2017/27337538/
"2023 Maruti Wagon R
4.07 Lakh
₹4.15 Lakh",4.07 Lakh,"EMI ₹7,542/m*",28K km,Petrol,Manual,DL11,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/wagon-r/lxi-10-2023/28737695/
"2022 Hyundai i20
5.69 Lakh
₹5.75 Lakh",5.69 Lakh,"EMI ₹9,860/m*",37.5K km,Petrol,Automatic,DL8C,"Raj Nagar Extension, Ghaziabad",https://www.spinny.com/buy-used-cars/ghaziabad/hyundai/i20/sportz-12-ivt-2022/28844628/
"2018 Skoda Octavia
10.21 Lakh
₹10.40 Lakh",10.21 Lakh,"EMI ₹18,117/m*",111K km,Petrol,Automatic,DL2C,"Nehru Place, Delhi",https://www.spinny.com/buy-used-cars/delhi/skoda/octavia/18-tsi-lk-2018/25665822/
"2017 Maruti Ignis
3.80 Lakh
₹3.84 Lakh",3.80 Lakh,"EMI ₹6,607/m*",39K km,Petrol,Automatic,DL2C,"Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/ignis/zeta-12-amt-dwarka-sector-21-2017/28908955/
