name,price,emi,kilometer,fuel,transmission,registration,location,link
"2023 Audi Q3
29.13 Lakh
₹29.50 Lakh",29.13 Lakh,"EMI ₹50,736/m*",79K km,Petrol,Automatic,TS21,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/audi/q3/40-tfsi-premium-plus-kukatpally-2023/28361691/
"2015 Maruti Alto 800
2.44 Lakh
₹2.46 Lakh",2.44 Lakh,"EMI ₹5,632/m*",60.5K km,Petrol,Manual,AP21,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/vxi-kukatpally-2015/28682056/
"2015 Honda City
5.51 Lakh
₹5.54 Lakh",5.51 Lakh,"EMI ₹11,975/m*",145K km,Diesel,Manual,AP26,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/honda/city/vx-diesel-kukatpally-2015/27960723/
"2016 Hyundai Grand i10
4.43 Lakh",4.43 Lakh,"EMI ₹8,209/m*",60K km,Petrol,Automatic,TS13,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/asta-at-12-kappa-vtvt-kukatpally-2016/27585582/
"2016 Maruti Alto K10
2.43 Lakh
₹2.49 Lakh",2.43 Lakh,"EMI ₹4,605/m*",94K km,Petrol,Manual,TS08,"D-Mart, Madhapur",https://www.spinny.com/used-cars-in-hyderabad/s/
"2022 Hyundai Venue
8.71 Lakh
₹8.83 Lakh",8.71 Lakh,"EMI ₹15,156/m*",46.5K km,Petrol,Manual,TS30,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/venue/sx-o-10-turbo-imt-kukatpally-2022/24997330/
"2021 Kia Sonet
9.27 Lakh
₹9.34 Lakh",9.27 Lakh,"EMI ₹16,024/m*",85K km,Petrol,Automatic,TS11,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/kia/sonet/gtx-plus-10-dct-uppal-2021/28740635/
"2017 Honda Jazz
4.61 Lakh
₹4.64 Lakh",4.61 Lakh,"EMI ₹7,471/m*",132.5K km,Petrol,Automatic,TS09,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/honda/jazz/v-at-petrol-hafeezpet-2017/29011748/
"2023 Maruti XL6
12.57 Lakh
₹12.70 Lakh",12.57 Lakh,"EMI ₹21,984/m*",15.5K km,Petrol,Automatic,TS09,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/xl6/alpha-plus-at-petrol-kukatpally-2023/28986733/
"2020 Kia Seltos
11.03 Lakh
₹11.11 Lakh",11.03 Lakh,"EMI ₹19,259/m*",120.5K km,Petrol,Automatic,TS07,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/gtx-plus-dct-14-uppal-2020/27818922/
"2019 Mercedes C-Class
26.31 Lakh
₹26.50 Lakh",26.31 Lakh,"EMI ₹45,576/m*",28K km,Diesel,Automatic,TS09,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/mercedes-benz/c-class/c220d-progressive-kukatpally-2019/28536556/
"2016 Maruti Alto 800
2.13 Lakh
₹2.15 Lakh",2.13 Lakh,"EMI ₹4,225/m*",110K km,Petrol,Manual,TS08,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/vxi-uppal-2016/28922188/
"2016 Maruti Alto 800
2.12 Lakh
₹2.14 Lakh",2.12 Lakh,"EMI ₹4,206/m*",112.5K km,Petrol,Manual,AP35,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/lxi-2016/28542929/
"2019 Kia Seltos
11.09 Lakh
₹11.19 Lakh",11.09 Lakh,"EMI ₹19,311/m*",84K km,Petrol,Automatic,TS07,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/gtx-plus-at-14-2019/28862041/
"2023 Audi Q3
32.09 Lakh
₹32.50 Lakh",32.09 Lakh,"EMI ₹55,896/m*",42K km,Petrol,Automatic,TS07,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/audi/q3/40-tfsi-technology-kukatpally-2023/28864179/
"2023 Maruti Brezza
12.04 Lakh
₹12.13 Lakh",12.04 Lakh,"EMI ₹21,013/m*",27.5K km,Petrol,Automatic,TS13,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/brezza/zxi-plus-at-kukatpally-2023/28908687/
"2022 Honda City
11.17 Lakh
₹11.26 Lakh",11.17 Lakh,"EMI ₹19,430/m*",37.5K km,Petrol,Automatic,TS09,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/honda/city/vx-cvt-petrol-kukatpally-2022/28249065/
"2016 Audi Q3
16.29 Lakh
₹16.50 Lakh",16.29 Lakh,"EMI ₹30,331/m*",56K km,Diesel,Automatic,TS07,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/audi/q3/35-tdi-premium-sunroof-kukatpally-2016/28518742/
"2019 Kia Seltos
10.40 Lakh
₹10.49 Lakh",10.40 Lakh,"EMI ₹18,102/m*",74K km,Petrol,Manual,TS09,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/gtx-plus-14-kukatpally-2019/27619211/
"2021 Mercedes GLC
41.37 Lakh
₹41.90 Lakh",41.37 Lakh,"EMI ₹72,064/m*",45K km,Petrol,Automatic,TS04,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/mercedes-benz/glc/200-progressive-kukatpally-2021/28626580/
"2016 Tata Nano
1.95 Lakh",1.95 Lakh,"EMI ₹3,447/m*",62.5K km,Petrol,Automatic,TS08,N/A,https://www.spinny.com/buy-used-cars/hyderabad/tata/nano/twist-xta-kukatpally-2016/28520365/
"2017 Hyundai Elite i20
4.66 Lakh
₹4.69 Lakh",4.66 Lakh,"EMI ₹8,609/m*",107K km,Petrol,Manual,TS07,"Phoenix Trivium, Hafeezpet",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/elite-i20/asta-12-hafeezpet-2017/28455386/
"2022 Kia Seltos
11.94 Lakh
₹12.07 Lakh",11.94 Lakh,"EMI ₹20,826/m*",103K km,Diesel,Manual,TS10,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/kia/seltos/htx-plus-15-diesel-kukatpally-2022/27379154/
"2023 Mahindra Thar
14.34 Lakh",14.34 Lakh,"EMI ₹24,895/m*",50.5K km,Diesel,Automatic,TS07,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/mahindra/thar/lx-hard-top-diesel-at-4wd-kukatpally-2023/28425150/
"2014 Hyundai Grand i10
3.49 Lakh",3.49 Lakh,"EMI ₹9,515/m*",54.5K km,Petrol,Manual,TS07,"D-Mart, Madhapur",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/magna-12-kappa-vtvt-kukatpally-2014/28943940/
"2020 Maruti Vitara Brezza
7.95 Lakh",7.95 Lakh,"EMI ₹13,674/m*",97.5K km,Petrol,Automatic,TS15,"DSL Virtue Mall, Uppal",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/vitara-brezza/zxi-plus-at-shvs-uppal-2020/29170223/
"2023 Hyundai Verna
11.69 Lakh",11.69 Lakh,"EMI ₹20,247/m*",55.5K km,Petrol,Manual,TS08,"Nexus Sujana Mall, Kukatpally",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/verna/sx-15-turbo-petrol-mt-2023/28929857/
