name,price,emi,kilometer,fuel,transmission,registration,location,link
"2016 Maruti Baleno
4.35 Lakh
₹4.37 Lakh",4.35 Lakh,"EMI ₹8,100/m*",50.5K km,Petrol,Manual,MH04,"Nexus Seawoods, Kharghar",https://www.spinny.com/buy-used-cars/mumbai/maruti-suzuki/baleno/alpha-12-seawoods-2016/28331697/
"2022 Kia Carens
12.90 Lakh",12.90 Lakh,"EMI ₹22,257/m*",38.5K km,Petrol,Manual,MH46,"Kohinoor Square Mall, Dadar",https://www.spinny.com/buy-used-cars/mumbai/kia/carens/luxury-plus-14-petrol-7-str-2022/28641923/
"2023 Maruti Ciaz
7.45 Lakh",7.45 Lakh,"EMI ₹12,755/m*",14.5K km,Petrol,Manual,MH05,"Kohinoor Square Mall, Dadar",https://www.spinny.com/buy-used-cars/mumbai/maruti-suzuki/ciaz/sigma-15-2023/29096900/
"2018 Honda Amaze
4.86 Lakh
₹4.94 Lakh",4.86 Lakh,"EMI ₹8,480/m*",19.5K km,Petrol,Automatic,MH03,"Kohinoor Square Mall, Dadar",https://www.spinny.com/buy-used-cars/mumbai/honda/amaze/12-vx-at-ivtec-2018/29017596/
"2018 Jeep Compass
7 Lakh",7 Lakh,"EMI ₹11,920/m*",50K km,Petrol,Manual,MH01,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/jeep/compass/sport-14-petrol-vidyavihar-2018/28584178/
"2020 Hyundai Elite i20
5.60 Lakh
₹5.68 Lakh",5.60 Lakh,"EMI ₹9,740/m*",43.5K km,Petrol,Automatic,MH02,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/hyundai/elite-i20/asta-12-o-cvt-2020/29047179/
"2021 Renault Duster
6.12 Lakh
₹6.15 Lakh",6.12 Lakh,"EMI ₹10,541/m*",97.5K km,Petrol,Automatic,MH04,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/renault/duster/rxz-13-turbo-petrol-cvt-2021/28479129/
"2021 Hyundai Creta
10.20 Lakh
₹10.25 Lakh",10.20 Lakh,"EMI ₹17,777/m*",29.5K km,Petrol,Manual,MH03,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/hyundai/creta/sx-15-petrol-executive-vidyavihar-2021/28968582/
"2023 Tata Nexon
8.50 Lakh
₹8.54 Lakh",8.50 Lakh,"EMI ₹14,679/m*",17K km,Petrol,Manual,MH04,"Nexus Seawoods, Kharghar",https://www.spinny.com/buy-used-cars/mumbai/tata/nexon/xz-plus-seawoods-2023/28689688/
"2017 BMW 5 Series
25.57 Lakh
₹25.90 Lakh",25.57 Lakh,"EMI ₹44,544/m*",51.5K km,Diesel,Automatic,MH01,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/bmw/5-series/520d-luxury-line-vidyavihar-2017/27584536/
"2018 Skoda Superb
10.31 Lakh
₹10.36 Lakh",10.31 Lakh,"EMI ₹18,766/m*",61.5K km,Petrol,Automatic,MH01,"Korum Mall, Thane",https://www.spinny.com/buy-used-cars/mumbai/skoda/superb/style-tsi-at-samat-nagar-2018/26947950/
"2019 BMW 5 Series
29.52 Lakh
₹29.90 Lakh",29.52 Lakh,"EMI ₹51,424/m*",37K km,Diesel,Automatic,MH02,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/bmw/5-series/520d-luxury-line-vidyavihar-2019/28548806/
"2019 Jeep Compass
9.09 Lakh
₹9.14 Lakh",9.09 Lakh,"EMI ₹15,560/m*",67.5K km,Petrol,Automatic,MH01,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/jeep/compass/limited-14-petrol-at-vidyavihar-2019/28461238/
"2020 Tata Tiago
3.64 Lakh
₹3.68 Lakh",3.64 Lakh,"EMI ₹6,334/m*",99K km,Petrol,Manual,MH48,"Nexus Seawoods, Kharghar",https://www.spinny.com/buy-used-cars/mumbai/tata/tiago/xt-seawoods-2020/27101632/
"2020 Skoda Karoq
12.66 Lakh
₹12.75 Lakh",12.66 Lakh,"EMI ₹22,002/m*",71.5K km,Petrol,Automatic,MH03,"Korum Mall, Thane",https://www.spinny.com/buy-used-cars/mumbai/skoda/karoq/15-tsi-samat-nagar-2020/28636900/
"2024 Volkswagen Tiguan
29.04 Lakh
₹29.56 Lakh",29.04 Lakh,"EMI ₹50,844/m*",4.5K km,Petrol,Automatic,MH01,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/volkswagen/tiguan/elegance-20-tsi-dsg-vidyavihar-2024/28580001/
"2024 Audi Q3
37.50 Lakh",37.50 Lakh,"EMI ₹64,496/m*",9K km,Petrol,Automatic,MH01,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/audi/q3/40-tfsi-technology-vidyavihar-2024/28687407/
"2018 Skoda Octavia
11.26 Lakh
₹11.34 Lakh",11.26 Lakh,"EMI ₹19,735/m*",63.5K km,Petrol,Automatic,MH01,"Kohinoor Square Mall, Dadar",https://www.spinny.com/buy-used-cars/mumbai/skoda/octavia/18-tsi-lk-dadar-west-2018/28573458/
"2018 Skoda Octavia
9.04 Lakh
₹9.14 Lakh",9.04 Lakh,"EMI ₹15,803/m*",105K km,Petrol,Automatic,MH03,"Nexus Seawoods, Kharghar",https://www.spinny.com/buy-used-cars/mumbai/skoda/octavia/18-tsi-lk-seawoods-2018/11302893/
"2020 MG Hector
9.63 Lakh
₹9.71 Lakh",9.63 Lakh,"EMI ₹16,671/m*",30K km,Hybrid,Manual,MH47,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/mg-motors/hector/sharp-hybrid-15-petrol-2020/27017212/
"2021 Maruti XL6
9.79 Lakh",9.79 Lakh,"EMI ₹16,739/m*",56K km,Petrol,Automatic,MH02,"Korum Mall, Thane",https://www.spinny.com/buy-used-cars/mumbai/maruti-suzuki/xl6/alpha-at-petrol-samat-nagar-2021/28728576/
"2019 Hyundai Grand i10
3.74 Lakh
₹3.76 Lakh",3.74 Lakh,"EMI ₹6,539/m*",112.5K km,Petrol,Manual,MH02,"Viceroy Savanah, Kandivali",https://www.spinny.com/buy-used-cars/mumbai/hyundai/grand-i10/sportz-12-kappa-vtvt-kandivali-east-2019/28707014/
"2022 Kia Seltos
9.74 Lakh",9.74 Lakh,"EMI ₹16,654/m*",29K km,Petrol,Manual,MH02,"Viceroy Savanah, Kandivali",https://www.spinny.com/buy-used-cars/mumbai/kia/seltos/htk-plus-15-kandivali-east-2022/28704009/
"2019 Kia Seltos
10.61 Lakh
₹10.66 Lakh",10.61 Lakh,"EMI ₹18,408/m*",44K km,Petrol,Automatic,MH47,"Korum Mall, Thane",https://www.spinny.com/buy-used-cars/mumbai/kia/seltos/gtx-plus-at-14-samat-nagar-2019/28043959/
"2022 Maruti Ignis
5.28 Lakh
₹5.31 Lakh",5.28 Lakh,"EMI ₹9,110/m*",21K km,Petrol,Manual,MH26,"Korum Mall, Thane",https://www.spinny.com/buy-used-cars/mumbai/maruti-suzuki/ignis/zeta-12-mt-2022/28302393/
"2020 Audi A4
18.38 Lakh
₹18.90 Lakh",18.38 Lakh,"EMI ₹32,505/m*",59K km,Petrol,Automatic,MH02,"Neelkanth Business Park, Vidyavihar",https://www.spinny.com/buy-used-cars/mumbai/audi/a4/35-tfsi-premium-plus-vidyavihar-2020/26474449/
