name,price,emi,kilometer,fuel,transmission,registration,location,link
"2014 Maruti Wagon R
2.39 Lakh
₹2.43 Lakh",2.39 Lakh,"EMI ₹6,933/m*",77.5K km,Petrol,Manual,MH12,Wagholi,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/wagon-r/lxi-wagholi-2014/28955183/
"2018 Maruti Alto K10
2.88 Lakh
₹2.94 Lakh",2.88 Lakh,"EMI ₹5,074/m*",50.5K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/alto-k10/vxi-2018/28894020/
"2012 Honda City
3.31 Lakh
₹3.34 Lakh",3.31 Lakh,"EMI ₹24,151/m*",102K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/honda/city/15-v-mt-hadapsar-2012/28869873/
"2022 Nissan Magnite
3.95 Lakh
₹4.03 Lakh",3.95 Lakh,"EMI ₹6,930/m*",55.5K km,Petrol,Manual,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/nissan/magnite/xe-2022/28978662/
"2012 Maruti Swift Dzire
3.62 Lakh
₹3.69 Lakh",3.62 Lakh,"EMI ₹26,652/m*",52K km,Petrol,Manual,MH14,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/swift-dzire/zxi-hinjawadi-2012/26757781/
"2019 Renault Kwid
3.02 Lakh",3.02 Lakh,"EMI ₹5,262/m*",27K km,Petrol,Manual,MH14,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/renault/kwid/rxl-2019/28751783/
"2024 Toyota Glanza
7.84 Lakh",7.84 Lakh,"EMI ₹13,487/m*",7K km,Petrol,Automatic,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/toyota/glanza/g-amt-2024/29112724/
"2016 Tata Zest
3.48 Lakh",3.48 Lakh,"EMI ₹6,480/m*",29.5K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/tata/zest/xms-petrol-2016/28706370/
"2017 Hyundai Elite i20
4.34 Lakh
₹4.42 Lakh",4.34 Lakh,"EMI ₹7,663/m*",54.5K km,Petrol,Manual,MH09,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/hyundai/elite-i20/sportz-12-2017/28866426/
"2011 Hyundai i10
2.44 Lakh
₹2.50 Lakh",2.44 Lakh,N/A,27.5K km,Petrol,Automatic,MH12,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/hyundai/i10/sportz-12-at-kappa2-2011/28740362/
"2019 Hyundai Verna
8.35 Lakh
₹8.47 Lakh",8.35 Lakh,"EMI ₹14,492/m*",50K km,Petrol,Automatic,MH14,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/hyundai/verna/sx-plus-16-vtvt-at-2019/29069114/
"2013 Maruti Alto K10
1.90 Lakh
₹1.96 Lakh",1.90 Lakh,"EMI ₹14,505/m*",31.5K km,Petrol,Manual,MH12,"Seasons Mall, Magarpatta",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/alto-k10/vxi-2013/28941011/
"2013 Hyundai i10
2.22 Lakh
₹2.28 Lakh",2.22 Lakh,"EMI ₹16,577/m*",52K km,Petrol,Manual,MH14,Hinjewadi,https://www.spinny.com/buy-used-cars/pune/hyundai/i10/era-11-irde2-2013/29016292/
"2014 Maruti Celerio
2.71 Lakh
₹2.77 Lakh",2.71 Lakh,"EMI ₹7,574/m*",103K km,Petrol,Manual,MH12,Bavdhan,https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/celerio/vxi-2014/28985439/
